variable,bloque,tabla_origen,estado,entra_en,proposito,sale_en,motivo,evidencia,en_completa,en_nucleo,en_minima,en_moderna
capdisp_fuel_mw,capacidad disponible,esios_capacity_available,descartada,matriz de partida,potencia declarada disponible por tecnología,Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",retirada durante la resolución de ausentes,,,,
capinst_autoconsume_battery_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",retirada durante la resolución de ausentes,,,,
capinst_ccgt_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",retirada durante la resolución de ausentes,,,,
capinst_fuel_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",retirada durante la resolución de ausentes,,,,
capinst_nuclear_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",retirada durante la resolución de ausentes,,,,
capinst_pump_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",retirada durante la resolución de ausentes,,,,
d2m_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye d2m_meteo,,,,
msl_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye msl_meteo,,,,
ssrd_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye ssrd_meteo,,,,
t2m_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye t2m_meteo,,,,
tcc_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye tcc_meteo,,,,
tp_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye tp_meteo,,,,
wind100_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye wind100_meteo,,,,
wind10_fc,meteorología: previsión cruda,ecmwf_forecast_agg (prevision D+1),descartada,matriz de partida,"previsión original, sustituida por el canal empalmado",Paso 2 · resolución de valores ausentes,"sustituida por el canal meteorológico empalmado, que cubre toda la serie",la sustituye wind10_meteo,,,,
imputado_apagon,,DERIVADA (depuracion),descartada,Paso 1 · reparación del cero de suministro,bandera de trazabilidad de la reparación,Paso 3 · tipado,"bandera de trazabilidad: metadato de la fila, no una característica",,,,,
pbf_completo_D,trazabilidad,DERIVADA (testigo de publicacion),descartada,matriz de partida,marca de fila reparada — NO es un predictor,Paso 3 · tipado,"bandera de trazabilidad: metadato de la fila, no una característica",,,,,
pbf_publicado_D,trazabilidad,DERIVADA (testigo de publicacion),descartada,matriz de partida,marca de fila reparada — NO es un predictor,Paso 3 · tipado,"bandera de trazabilidad: metadato de la fila, no una característica",,,,,
ventana_pisa_apagon,,DERIVADA (depuracion),descartada,Paso 1 · reparación del cero de suministro,bandera de trazabilidad de la reparación,Paso 3 · tipado,"bandera de trazabilidad: metadato de la fila, no una característica",,,,,
capinst_waste_renewable_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 4 · columnas sin varianza,cuasi-constante en entrenamiento,"dos valores: [np.float64(118.84), np.float64(131.63)]",,,,
pdbc_fuel_gas_mw_D,programas de casación,esios_pdbc_gen,descartada,matriz de partida,"programa del día de predicción, publicado antes del cierre",Paso 4 · columnas sin varianza,constante en entrenamiento,un único valor en entrenamiento: [0.],,,,
ree_grenov_prev,previsión para el día objetivo,forecast,descartada,matriz de partida,la única información referida al día que se predice,Paso 5 · colinealidad exacta,identidad exacta con otras columnas de la matriz,= ree_gwind_prev + ree_gsolar_prev · diferencia máxima 3.6e-12,,,,
wind_gust10_mean_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,descartada,matriz de partida,observación meteorológica de días anteriores,Paso 6 · sin equivalente en producción,no está archivada en la fuente de previsión que alimenta producción,R² ≈ 0.94 frente al viento medio agregado,,,,
wind_gust10_mean_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,descartada,matriz de partida,observación meteorológica de días anteriores,Paso 6 · sin equivalente en producción,no está archivada en la fuente de previsión que alimenta producción,R² ≈ 0.43 frente al viento medio agregado,,,,
capinst_battery_hybrid_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2024-01-01 · 60.8% de la ventana sin dato,,,,
capinst_solar_pv_hybrid_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2023-06-01 · 51.9% de la ventana sin dato,,,,
capinst_wind_hybrid_mw,capacidad instalada,esios_capacity_installed,descartada,matriz de partida,"parque disponible, de evolución estructural",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2023-03-01 · 48.0% de la ventana sin dato,,,,
ree_cbattery_mw_Dm1,estado real de días anteriores,generation (real D-1/D-6),descartada,matriz de partida,"el sistema tal y como se observó, ya publicado",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2024-11-20 · 74.3% de la ventana sin dato,,,,
ree_cbattery_mw_Dm6,estado real de días anteriores,generation (real D-1/D-6),descartada,matriz de partida,"el sistema tal y como se observó, ya publicado",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2024-11-25 · 74.5% de la ventana sin dato,,,,
ree_gbattery_mw_Dm1,estado real de días anteriores,generation (real D-1/D-6),descartada,matriz de partida,"el sistema tal y como se observó, ya publicado",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2024-11-20 · 74.3% de la ventana sin dato,,,,
ree_gbattery_mw_Dm6,estado real de días anteriores,generation (real D-1/D-6),descartada,matriz de partida,"el sistema tal y como se observó, ya publicado",Paso 7 · series que arrancan tarde,cero fabricado: el valor cero funcionaría como indicador del año,la serie arranca el 2024-11-25 · 74.5% de la ventana sin dato,,,,
at_entsoe_D,precio: mercados vecinos,"spot_price (Europa, dia D)",en la matriz,matriz de partida,precio de los mercados acoplados,,,,si,,,
be_entsoe_D,precio: mercados vecinos,"spot_price (Europa, dia D)",en la matriz,matriz de partida,precio de los mercados acoplados,,,,si,,,
bil_direct_consumer_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,si,si,si
bil_generic_buy_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,si,,si
bil_generic_sales_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,si,si,si
bil_retail_free_buy_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,si,,si
bil_retail_free_sales_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,si,,si
bil_retail_last_resort_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,si,,si
bil_total_purchases_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,,,
bil_total_sales_mw_D,programas de casación,esios_pbf_bilateral,en la matriz,matriz de partida,"programa del día de predicción, publicado antes del cierre",,,,si,,,
biomass_mw_Dm1,estado real de días anteriores,generation (real D-1/D-6),en la matriz,matriz de partida,"el sistema tal y como se observó, ya publicado",,,,si,si,,si
biomass_mw_Dm6,estado real de días anteriores,generation (real D-1/D-6),en la matriz,matriz de partida,"el sistema tal y como se observó, ya publicado",,,,si,si,,si
capdisp_ccgt_mw,capacidad disponible,esios_capacity_available,en la matriz,matriz de partida,potencia declarada disponible por tecnología,,,,si,si,,si
capdisp_coal_antracita_mw,capacidad disponible,esios_capacity_available,en la matriz,matriz de partida,potencia declarada disponible por tecnología,,,,si,si,si,si
capdisp_hydro_mw,capacidad disponible,esios_capacity_available,en la matriz,matriz de partida,potencia declarada disponible por tecnología,,,,si,si,,si
capdisp_nuclear_mw,capacidad disponible,esios_capacity_available,en la matriz,matriz de partida,potencia declarada disponible por tecnología,,,,si,si,,si
capdisp_pump_mw,capacidad disponible,esios_capacity_available,en la matriz,matriz de partida,potencia declarada disponible por tecnología,,,,si,si,,si
capinst_autoconsume_solar_pv_mw,capacidad instalada,esios_capacity_installed,en la matriz,matriz de partida,"parque disponible, de evolución estructural",,,,si,,,
